row_number,question
43,Did you read that the keg_definition of 'epoch' is 'Definition needed.'.
44,"Did you read that the keg_definition of 'person_contacts_net' is 'calculated from loaded TranUnits data. It holds the calculated net output for each PersonName, ContactName tuple.'."
45,"Did you read that the keg_definition of 'factory' is 'Not used in codebase. The factory method in programming is very important. However because I want 'fact' only to refer to the Keg concept I don't use the word 'factory', instead I use 'shop'.'."
46,Did you read that the keg_definition of 'heart' is 'Not used in codebase.'.
47,Did you read that the keg_definition of 'infinity' is 'As described in Totality and Infinity. Not used in codebase.'.
48,Did you read that the keg_definition of 'jump' is 'To use keg requires a human to jump and try. Not easy. Not used in codebase.'.
49,Did you read that the keg_definition of 'power' is 'Not used in codebase.'.
50,Did you read that the keg_definition of 'totality' is 'As described in Totality and Infinity. Not used in codebase.'.
51,Did you read that the keg_definition of 'finance' is 'Definition needed.'.
52,Did you read that the keg_definition of 'financial' is 'Definition needed.'.
53,Did you read that the keg_definition of 'Deal' is 'Definition needed. ch33'.
54,Did you read that the keg_definition of 'Gift' is 'Definition needed.'.
55,Did you read that the keg_definition of 'Peer' is 'Ch33 Definition needed.'.
56,Did you read that the keg_definition of 'PitchID' is 'str first used in ch33. str used to name PitchUnit'.
57,Did you read that the keg_definition of 'PitchUnit' is 'Ch33 Definition needed.'.
58,Did you read that the keg_definition of 'deal' is 'Definition needed. ch33'.
59,Did you read that the keg_definition of 'gift' is 'Definition needed.'.
60,Did you read that the keg_definition of 'offer' is 'Ch33 Definition needed.'.
61,Did you read that the keg_definition of 'peer' is 'Ch33 Definition needed.'.
62,Did you read that the keg_definition of 'pitch_id' is 'Definition needed.'.
63,Did you read that the keg_definition of 'pitcher_name' is 'Ch33 Definition needed.'.
64,Did you read that the keg_definition of 'pitchs' is 'Definition needed.'.
65,Did you read that the keg_definition of 'request' is 'Ch33 Definition needed.'.
66,Did you read that the keg_definition of 'WorldName' is 'str first used in ch32. Name of WorldDir'.
67,"Did you read that the keg_definition of 'today' is 'Refences the computer's current date, used to create a day_punch.'."
68,Did you read that the keg_definition of 'DayEvent' is 'Definition needed.'.
69,Did you read that the keg_definition of 'Event' is 'Definition needed.'.
70,Did you read that the keg_definition of 'default_kpi_bundle' is 'Definition needed.'.
71,Did you read that the keg_definition of 'gcal' is 'Definition needed.'.
72,Did you read that the keg_definition of 'moment_kpi001_contact_nets' is 'Definition needed.'.
73,Did you read that the keg_definition of 'moment_kpi002_person_pledges' is 'Definition needed.'.
74,Did you read that the keg_definition of 'vow' is 'ideas created for audience'.
75,Did you read that the keg_definition of 'day_punch' is 'A report that summarizes the tasks of a person for a day.'.
76,Did you read that the keg_definition of 'idea_type' is 'Definition needed.'.
77,Did you read that the keg_definition of 'ii' is 'Idea Format Identifier. Every idea_type format starts with 'ii' and then 5 numbers. Every brick_type has a mirrored idea_type. Multiple idea_types can map to single brick_type'.
78,Did you read that the keg_definition of 'moment_tranbook_nets' is 'Definition needed.'.
79,Did you read that the keg_definition of 'b_agg' is '5 character abbreviation of brixk_agg. stage_type_order=4 Brick Agg: The Brick Raw tables are aggregated to elimanate duplicates.'.
80,Did you read that the keg_definition of 'b_raw' is '5 character abbreviation of brixk_raw. stage_type_order=3 Brick Raw: The importable Excel Sheets entering the database'.
81,Did you read that the keg_definition of 'b_src' is '5 character abbreviation of brixk_src. stage_type_order=2 Brick files. Brick formats with SparkNum.'.
82,Did you read that the keg_definition of 'brixk_agg' is 'stage_type_order=4 Brick Agg: The Brick Raw tables are aggregated to elimanate duplicates.'.
83,Did you read that the keg_definition of 'brixk_raw' is 'stage_type_order=3 Brick Raw: The importable Excel Sheets entering the database'.
84,Did you read that the keg_definition of 'brixk_src' is 'stage_type_order=2 Brick files. Brick formats with SparkNum.'.
85,Did you read that the keg_definition of 'brixk_vld' is 'stage_type_order=6 Brick Valid: The Brick Agg tables filtered to correct datatypes. '.
86,Did you read that the keg_definition of 'h_agg' is '5 character abbreviation of heard_agg. stage_type_order=11 Populated by aggregated Heard Raw tables. Nabu number conversions take place here.'.
87,Did you read that the keg_definition of 'h_raw' is '5 character abbreviation of heard_raw. stage_type_order=10 Populated by Sound Valid tables'.
88,Did you read that the keg_definition of 'h_vld' is '5 character abbreviation of heard_vld. stage_type_order=12 Populated by aggregated and Nabu changed Heard Agg tables'.
89,Did you read that the keg_definition of 'heard_agg' is 'stage_type_order=11 Populated by aggregated Heard Raw tables. Nabu number conversions take place here.'.
90,Did you read that the keg_definition of 'heard_raw' is 'stage_type_order=10 Populated by Sound Valid tables'.
91,Did you read that the keg_definition of 'heard_vld' is 'stage_type_order=12 Populated by aggregated and Nabu changed Heard Agg tables'.
92,"Did you read that the keg_definition of 'i_dst' is '5 character abbreviation of ideax_dst. stage_type_order=14 Idea (Brick formats without SparkNum) Destination. Filtered Job, Moment data.'."
93,Did you read that the keg_definition of 'i_src' is '5 character abbreviation of ideax_src. stage_type_order=1 Idea Source files. Brick formats without SparkNum.'.
94,"Did you read that the keg_definition of 'ideax_dst' is 'stage_type_order=14 Idea (Brick formats without SparkNum) Destination. Filtered Job, Moment data.'."
95,Did you read that the keg_definition of 'ideax_src' is 'stage_type_order=1 Idea Source files. Brick formats without SparkNum.'.
96,Did you read that the keg_definition of 'k_vld' is '5 character abbreviation of brixk_vld. stage_type_order=6 Brick Valid: The Brick Agg tables filtered to correct datatypes. '.
97,Did you read that the keg_definition of 'lego' is '5 character abbreviation of legox_mst. stage_type_order=13 File buildout of Moments and PersonUnits. Word used to describe the end state of the core ETL pipeline. All core data should be in the database. Files may still be accessible. KPIs should all be sourced from it.'.
98,Did you read that the keg_definition of 'legox_mst' is 'stage_type_order=13 File buildout of Moments and PersonUnits'.
99,Did you read that the keg_definition of 'mmtbudd' is 'abbv for moment_budunit'.
100,Did you read that the keg_definition of 'mmthour' is 'abbv for moment_epoch_hour'.
101,Did you read that the keg_definition of 'mmtmont' is 'abbv for moment_epoch_month'.
102,Did you read that the keg_definition of 'mmtoffi' is 'abbv for moment_timeoffi'.
103,Did you read that the keg_definition of 'mmtpayy' is 'abbv for moment_paybook'.
104,Did you read that the keg_definition of 'mmtunit' is 'abbv for momentunit'.
105,Did you read that the keg_definition of 'mmtweek' is 'abbv for moment_epoch_weekday'.
106,Did you read that the keg_definition of 'moment_ote1_agg' is 'Create Database Table that holds all spark_num to bud_time pairs. Include moment_rope and person_name'.
107,Did you read that the keg_definition of 'nabtime' is 'abbv for nabu_timenum'.
108,Did you read that the keg_definition of 'person_net_amount' is 'Definition needed.'.
109,Did you read that the keg_definition of 's_agg' is '5 character abbreviation of sound_agg. stage_type_order=8 Populated by aggregated Sound Raw dimen data (elimanate duplicates). Translate Core data is validated then used to translate non-Translate dimen data'.
110,Did you read that the keg_definition of 's_raw' is '5 character abbreviation of sound_raw. stage_type_order=7 The Brick Valid data is seperated by column into dimen data such as person_planunit and moment_budunit'.
111,Did you read that the keg_definition of 's_vld' is '5 character abbreviation of sound_vld. stage_type_order=9 The Translated Sound Agg data is aggregated to elimanate duplicates into Sound Valid'.
112,Did you read that the keg_definition of 'sound_agg' is 'stage_type_order=8 Populated by aggregated Sound Raw dimen data (elimanate duplicates). Translate Core data is validated then used to translate non-Translate dimen data'.
113,Did you read that the keg_definition of 'sound_raw' is 'stage_type_order=7 The Brick Valid data is seperated by column into dimen data such as person_planunit and moment_budunit'.
114,Did you read that the keg_definition of 'sound_vld' is 'stage_type_order=9 The Translated Sound Agg data is aggregated to elimanate duplicates into Sound Valid'.
115,Did you read that the keg_definition of 'sparks_brixk_agg' is 'Definition needed.'.
116,Did you read that the keg_definition of 'sparks_brixk_vld' is 'Definition needed.'.
117,Did you read that the keg_definition of 'trlcore' is 'abbv for translate_core'.
118,Did you read that the keg_definition of 'trllabe' is 'abbv for translate_label'.
119,Did you read that the keg_definition of 'trlname' is 'abbv for translate_name'.
120,Did you read that the keg_definition of 'trlrope' is 'abbv for translate_rope'.
121,Did you read that the keg_definition of 'trltitl' is 'abbv for translate_title'.
122,Did you read that the keg_definition of 'Excel' is 'A spreadsheet format.'.
123,Did you read that the keg_definition of 'SheetName' is 'A string used as SheetName for SpreadSheet files. str first used in ch17'.
124,Did you read that the keg_definition of 'allowed_crud' is 'Each brick config dimen has an allowed_crud that describes whether the data may be updated/deleted/inserted more than one.'.
125,Did you read that the keg_definition of 'attributes' is 'General term used to describe things about another thing'.
126,Did you read that the keg_definition of 'awardee_title_inx' is 'The 'awardee_title' value after Translate.'.
127,Did you read that the keg_definition of 'awardee_title_otx' is 'The 'awardee_title' value after Translate.'.
128,Did you read that the keg_definition of 'brick' is 'Definition needed.'.
129,Did you read that the keg_definition of 'brick_category' is 'Definition needed.'.
130,Did you read that the keg_definition of 'brick_type' is 'Definition needed.'.
131,Did you read that the keg_definition of 'bud_time_inx' is 'The 'bud_time' value after Translate.'.
132,Did you read that the keg_definition of 'bud_time_otx' is 'The 'bud_time' value after Translate.'.
133,Did you read that the keg_definition of 'build_order' is 'When building a world the order of dimen data implementation must be deterministic. build_order defines the order dimens are evaluated for a World.'.
134,"Did you read that the keg_definition of 'delete_insert' is 'Associated dimens: person_plan_healerunit, person_plan_laborunit'."
135,"Did you read that the keg_definition of 'delete_insert_update' is 'Associated dimens: person_contact_membership, person_contactunit, person_plan_awardunit, person_plan_factunit, person_plan_reason_caseunit, person_plan_reasonunit, person_planunit' in 'Associated dimens: person_planunit, person_contactunit, person_plan_reasonunit, person_plan_factunit, person_plan_awardunit, person_contact_membership, person_plan_reason_caseunit'."
136,"Did you read that the keg_definition of 'delete_update' is 'Associated dimens: person_plan_healerunit, person_plan_laborunit'."
137,Did you read that the keg_definition of 'epoch_label_inx' is 'The 'epoch_label' value after Translate.'.
138,Did you read that the keg_definition of 'epoch_label_otx' is 'The 'epoch_label' value after Translate.'.
139,Did you read that the keg_definition of 'error_message' is 'Definition needed.'.
140,Did you read that the keg_definition of 'excel' is 'A spreadsheet format.'.
141,Did you read that the keg_definition of 'fact_context_inx' is 'The 'fact_context' value after Translate.'.
142,Did you read that the keg_definition of 'fact_context_otx' is 'The 'fact_context' value after Translate.'.
143,Did you read that the keg_definition of 'fact_lower_inx' is 'The 'fact_lower' value after Translate.'.
144,Did you read that the keg_definition of 'fact_lower_otx' is 'The 'fact_lower' value after Translate.'.
145,Did you read that the keg_definition of 'fact_state_inx' is 'The 'fact_state' value after Translate.'.
146,Did you read that the keg_definition of 'fact_state_otx' is 'The 'fact_state' value after Translate.'.
147,Did you read that the keg_definition of 'fact_upper_inx' is 'The 'fact_upper' value after Translate.'.
148,Did you read that the keg_definition of 'fact_upper_otx' is 'The 'fact_upper' value after Translate.'.
149,Did you read that the keg_definition of 'fund_rank' is 'Definition needed.'.
150,Did you read that the keg_definition of 'group_title_inx' is 'The 'group_title' value after Translate.'.
151,Did you read that the keg_definition of 'group_title_otx' is 'The 'group_title' value after Translate.'.
152,Did you read that the keg_definition of 'healer_name_inx' is 'The 'healer_name' value after Translate.'.
153,Did you read that the keg_definition of 'healer_name_otx' is 'The 'healer_name' value after Translate.'.
154,Did you read that the keg_definition of 'hour_label_inx' is 'The 'hour_label' value after Translate.'.
155,Did you read that the keg_definition of 'hour_label_otx' is 'The 'hour_label' value after Translate.'.
156,Did you read that the keg_definition of 'idea' is 'A collection of bricks (currently only in brick format) with a spark_face but no spark_num.'.
157,"Did you read that the keg_definition of 'insert_multiple' is 'Associated dimens: moment_budunit, moment_paybook, moment_timeoffi'."
158,"Did you read that the keg_definition of 'insert_one_time' is 'Associated dimens: moment_epoch_hour, moment_epoch_month, moment_epoch_weekday, momentunit, nabu_timenum, translate_label, translate_name, translate_rope, translate_title'."
159,Did you read that the keg_definition of 'insert_update' is 'Definition needed.'.
160,Did you read that the keg_definition of 'labor_title_inx' is 'The 'labor_title' value after Translate.'.
161,Did you read that the keg_definition of 'labor_title_otx' is 'The 'labor_title' value after Translate.'.
162,Did you read that the keg_definition of 'moment_rope_inx' is 'The 'moment_rope' value after Translate.'.
163,Did you read that the keg_definition of 'moment_rope_otx' is 'The 'moment_rope' value after Translate.'.
164,Did you read that the keg_definition of 'month_label_inx' is 'The 'month_label' value after Translate.'.
165,Did you read that the keg_definition of 'month_label_otx' is 'The 'month_label' value after Translate.'.
166,Did you read that the keg_definition of 'net_funds' is 'Definition needed.'.
167,Did you read that the keg_definition of 'offi_time_inx' is 'The 'offi_time' value after Translate.'.
168,Did you read that the keg_definition of 'offi_time_otx' is 'The 'offi_time' value after Translate.'.
169,Did you read that the keg_definition of 'otx_key' is 'Definition needed.'.
170,Did you read that the keg_definition of 'person_name_inx' is 'The 'person_name' value after Translate.'.
171,Did you read that the keg_definition of 'person_name_otx' is 'The 'person_name' value after Translate.'.
172,Did you read that the keg_definition of 'plan_rope_inx' is 'The 'plan_rope' value after Translate.'.
173,Did you read that the keg_definition of 'plan_rope_otx' is 'The 'plan_rope' value after Translate.'.
174,Did you read that the keg_definition of 'pledges_count' is 'Definition needed.'.
175,Did you read that the keg_definition of 'reason_context_inx' is 'The 'reason_context' value after Translate.'.
176,Did you read that the keg_definition of 'reason_context_otx' is 'The 'reason_context' value after Translate.'.
177,Did you read that the keg_definition of 'reason_lower_inx' is 'The 'reason_lower' value after Translate.'.
178,Did you read that the keg_definition of 'reason_lower_otx' is 'The 'reason_lower' value after Translate.'.
179,Did you read that the keg_definition of 'reason_state_inx' is 'The 'reason_state' value after Translate.'.
180,Did you read that the keg_definition of 'reason_state_otx' is 'The 'reason_state' value after Translate.'.
181,Did you read that the keg_definition of 'reason_upper_inx' is 'The 'reason_upper' value after Translate.'.
182,Did you read that the keg_definition of 'reason_upper_otx' is 'The 'reason_upper' value after Translate.'.
183,"Did you read that the keg_definition of 'sheet' is 'Object that represents a spreadsheet. It has attributes like filename, table_name, and data.'."
184,Did you read that the keg_definition of 'source_dimen' is 'Definition needed.'.
185,Did you read that the keg_definition of 'spark_face_inx' is 'The 'spark_face' value after Translate.'.
186,Did you read that the keg_definition of 'spark_face_otx' is 'The 'spark_face' value after Translate.'.
187,Did you read that the keg_definition of 'tran_time_inx' is 'The 'tran_time' value after Translate.'.
188,Did you read that the keg_definition of 'tran_time_otx' is 'The 'tran_time' value after Translate.'.
189,Did you read that the keg_definition of 'translate_spark_num' is 'Definition needed.'.
190,Did you read that the keg_definition of 'weekday_label_inx' is 'The 'weekday_label' value after Translate.'.
191,Did you read that the keg_definition of 'weekday_label_otx' is 'The 'weekday_label' value after Translate.'.
192,Did you read that the keg_definition of 'world_name' is 'Definition needed.'.
193,Did you read that the keg_definition of 'contact_name_inx' is 'The 'contact_name' value after Translate.'.
194,Did you read that the keg_definition of 'contact_name_otx' is 'The 'contact_name' value after Translate.'.
195,"Did you read that the keg_definition of 'inx_knot' is ', TRANSLATE_LABEL arg, TRANSLATE_NAME arg, TRANSLATE_ROPE arg, TRANSLATE_TITLE arg'."
196,"Did you read that the keg_definition of 'inx_label' is ', TRANSLATE_LABEL arg'."
197,"Did you read that the keg_definition of 'inx_name' is ', TRANSLATE_NAME arg'."
198,"Did you read that the keg_definition of 'inx_rope' is ', TRANSLATE_ROPE arg'."
199,"Did you read that the keg_definition of 'inx_title' is ', TRANSLATE_TITLE arg'."
200,Did you read that the keg_definition of 'labelmap' is 'Definition needed.'.
201,Did you read that the keg_definition of 'namemap' is 'Definition needed.'.
202,"Did you read that the keg_definition of 'otx_knot' is ', TRANSLATE_LABEL arg, TRANSLATE_NAME arg, TRANSLATE_ROPE arg, TRANSLATE_TITLE arg'."
203,"Did you read that the keg_definition of 'otx_label' is ', TRANSLATE_LABEL arg'."
204,"Did you read that the keg_definition of 'otx_name' is ', TRANSLATE_NAME arg'."
205,"Did you read that the keg_definition of 'otx_rope' is ', TRANSLATE_ROPE arg'."
206,"Did you read that the keg_definition of 'otx_title' is ', TRANSLATE_TITLE arg'."
207,Did you read that the keg_definition of 'ropemap' is 'Definition needed.'.
208,Did you read that the keg_definition of 'titlemap' is 'Definition needed.'.
209,Did you read that the keg_definition of 'translate' is 'Definition needed.'.
210,Did you read that the keg_definition of 'translate_core' is 'Definition needed.'.
211,"Did you read that the keg_definition of 'translate_label' is ''translate_label' is a translation dimen where otx_label is translated by inx_knot, inx_label, otx_knot, unknown_str'."
212,"Did you read that the keg_definition of 'translate_name' is ''translate_name' is a translation dimen where otx_name is translated by inx_knot, inx_name, otx_knot, unknown_str'."
213,"Did you read that the keg_definition of 'translate_rope' is ''translate_rope' is a translation dimen where otx_rope is translated by inx_knot, inx_rope, otx_knot, unknown_str'."
214,"Did you read that the keg_definition of 'translate_title' is ''translate_title' is a translation dimen where otx_title is translated by inx_knot, inx_title, otx_knot, unknown_str'."
215,Did you read that the keg_definition of 'translateunit' is 'Definition needed.'.
216,"Did you read that the keg_definition of 'unknown_str' is ', TRANSLATE_LABEL arg, TRANSLATE_NAME arg, TRANSLATE_ROPE arg, TRANSLATE_TITLE arg'."
217,Did you read that the keg_definition of 'Nabu' is 'Definition needed.'.
218,Did you read that the keg_definition of 'NabuTime' is 'Definition needed.'.
219,Did you read that the keg_definition of 'inx_epoch_diff' is 'Definition needed.'.
220,"Did you read that the keg_definition of 'inx_time' is ', nabu arg'."
221,Did you read that the keg_definition of 'nabu' is 'Definition needed.'.
222,Did you read that the keg_definition of 'nabu_timenum' is 'Definition needed.'.
223,Did you read that the keg_definition of 'otx2inx' is 'Definition needed.'.
224,Did you read that the keg_definition of 'otx_epoch_length' is 'Definition needed.'.
225,"Did you read that the keg_definition of 'otx_time' is ', nabu arg'."
226,Did you read that the keg_definition of 'timenabu' is 'Definition needed.'.
227,Did you read that the keg_definition of 'all_tranbook' is 'Definition needed.'.
228,"Did you read that the keg_definition of 'cumulative_minute' is ', mmthour argDefinition needed.'."
229,"Did you read that the keg_definition of 'job_listen_rotations' is ', Moment arg'."
230,Did you read that the keg_definition of 'moment_budunit' is 'Definition needed.'.
231,Did you read that the keg_definition of 'moment_epoch_hour' is 'Definition needed.'.
232,Did you read that the keg_definition of 'moment_epoch_month' is 'Definition needed.'.
233,Did you read that the keg_definition of 'moment_epoch_weekday' is 'Definition needed.'.
234,Did you read that the keg_definition of 'moment_paybook' is 'Definition needed.'.
235,Did you read that the keg_definition of 'moment_static' is 'Used to identify if the data can change or must be identify when the Moment of instantization.'.
236,Did you read that the keg_definition of 'moment_timeoffi' is 'Definition needed.'.
237,Did you read that the keg_definition of 'momentunit' is 'Definition needed.'.
238,Did you read that the keg_definition of 'offi_times' is 'Definition needed.'.
239,Did you read that the keg_definition of 'paybook' is 'Definition needed.'.
240,Did you read that the keg_definition of 'personbudhistorys' is 'Definition needed.'.
241,"Did you read that the keg_definition of 'weekday_label' is ', mmtweek arg'."
242,"Did you read that the keg_definition of 'weekday_order' is ', mmtweek arg'."
243,Did you read that the keg_definition of 'Anaday' is 'First Day of 5 day week of 'Five' Epoch'.
244,Did you read that the keg_definition of 'Baileyday' is 'Second Day of 5 day week of 'Five' Epoch'.
245,Did you read that the keg_definition of 'Chiday' is 'Third Day of 5 day week of 'Five' Epoch'.
246,Did you read that the keg_definition of 'Danceday' is 'Fourth Day of 5 day week of 'Five' Epoch'.
247,Did you read that the keg_definition of 'Eastday' is 'Fifth Day of 5 day week of 'Five' Epoch'.
248,Did you read that the keg_definition of 'EpochLabel' is 'str first used in ch13. EpochLabel is required for every EpochUnit. It is a LabelTerm that must not contain the knot.'.
249,Did you read that the keg_definition of 'TimeShoe' is 'Definition needed.'.
250,"Did you read that the keg_definition of 'c100' is '100 years, sub part of c400_core'."
251,"Did you read that the keg_definition of 'c100_length' is 'A C400Constant for building Epochs: 52,594,560 minutes in 100 year cycle'."
252,Did you read that the keg_definition of 'c400_core' is '400 years without the extra leap day.'.
253,"Did you read that the keg_definition of 'c400_core_length' is 'A C400Constant for building Epochs: 210,378,240 minutes in 400 year cycle without last leap-day'."
254,Did you read that the keg_definition of 'c400_leap' is '400 years with the extra leap day.'.
255,"Did you read that the keg_definition of 'c400_leap_length' is 'A C400Constant for building Epochs: 210,379,680 minutes in 400 year cycle'."
256,"Did you read that the keg_definition of 'c400_number' is 'Epoch config Integer that represents number of 400 year cycles. Defines the range of years in epoch c400_number=7 means 2800 years, Moment arg'."
257,Did you read that the keg_definition of 'clock' is 'String representation of the time during the day. '10:00am' or '0:15hr'.
258,"Did you read that the keg_definition of 'creg' is 'Gregorian time does not have year zero. It was necessary to have year zero so the default epoch technology is Cregorian time, Gregorian time with year 0.'."
259,"Did you read that the keg_definition of 'cumulative_day' is ', mmtmont arg'."
260,Did you read that the keg_definition of 'day' is 'A fundamental structure of time for Keg2. Always assumed to be a 1440 minutes long.'.
261,"Did you read that the keg_definition of 'day_length' is 'A C400Constant for building Epochs: 1,440 minutes in day'."
262,Did you read that the keg_definition of 'dayly_duration_min' is 'Required fields for creating Epoch dayly cases.'.
263,Did you read that the keg_definition of 'dayly_lower_min' is 'Required fields for creating Epoch dayly cases.'.
264,Did you read that the keg_definition of 'days' is 'Definition needed.'.
265,Did you read that the keg_definition of 'days_lower_day' is 'Required fields for creating Epoch every_xdays cases.'.
266,Did you read that the keg_definition of 'days_upper_day' is 'Required fields for creating Epoch every_xdays cases.'.
267,Did you read that the keg_definition of 'duration' is 'Definition needed.'.
268,"Did you read that the keg_definition of 'epoch_label' is 'Epoch config: Name of epoch. Persons may have multiple epochs, they are differentiated by this LabelTerm, Moment arg'."
269,Did you read that the keg_definition of 'epoch_length' is 'Total number of minutes in a Epoch. Calculated by number of minutes in C400_leap times Epoch's c400_number'.
270,Did you read that the keg_definition of 'epoch_min' is 'Definition needed.'.
271,Did you read that the keg_definition of 'every_xdays' is 'Required fields for creating Epoch every_xdays cases.'.
272,Did you read that the keg_definition of 'every_xweeks' is 'Required fields for creating Epoch weekly cases.'.
273,"Did you read that the keg_definition of 'five' is 'An Epoch. A structure for time often used in the codebase. Starts about 5000 years ago, has 16 months, 15 of which are 25 days. Week is 5 days long.'."
274,Did you read that the keg_definition of 'hour' is 'Definition needed.'.
275,"Did you read that the keg_definition of 'hour_label' is ', mmthour arg'."
276,"Did you read that the keg_definition of 'hours_config' is 'Epoch config List of Lists that contain two elements: hour name and the day's minute when it ends. Last item list must contain hour name and 1440 because that is the last minute of the day, partial example: [['12am', 60], ['11pm', 1440]]'."
277,"Did you read that the keg_definition of 'month_label' is ', mmtmont arg'."
278,"Did you read that the keg_definition of 'monthday_index' is 'Epoch config: Changes MonthDay displayed day number. Months' day numbers are assumed to start with 0. The first day of the month is #0. The 3rd day of the month would be Day #2 of month. Most prefer The first day of the month to be 1 even though this makes divisor difficult. If monthday_index=1 then the 3rd day of the month is #3, Moment arg'."
279,Did you read that the keg_definition of 'monthly_duration_days' is 'Required fields for creating Epoch monthly cases.'.
280,Did you read that the keg_definition of 'monthly_monthday_lower' is 'Required fields for creating Epoch monthly cases.'.
281,"Did you read that the keg_definition of 'months_config' is 'Epoch config: List of lists that contain two elements: month name and the year's day when it ends. Last item list must contain year's day equal 365 because it is the last day of the year. [['March', 31], ['February', 365]]'."
282,Did you read that the keg_definition of 'range_duration' is 'Required fields for creating Epoch ranged cases.'.
283,Did you read that the keg_definition of 'range_lower_min' is 'Required fields for creating Epoch ranged cases.'.
284,Did you read that the keg_definition of 'readable' is 'Human readable text. Often for time.'.
285,Did you read that the keg_definition of 'week' is 'A fundamental structure of time for Keg2. Always assumed to be a days long. Never partial days.'.
286,"Did you read that the keg_definition of 'weekdays_config' is 'Epoch config, List of Weekday names. When the Epoch begins the first Weekday in the list is the first day of the Epoch. ['Wednesday', ...'Tuesday'],'."
